,0,1,2
0,手机,shǒujī,моб.телефон / mobile phone
1,朋友,péngyou,друг
2,触屏,chùpíng,"сенсорный экран , touch screen"
3,就是,jiùshì,"вот именно, точно так, exactly/am, is, are"
4,屏幕,píngmù,экран     screen
5,种,zhǒng,"вид, сорт    type/kind"
6,按键,ànjiàn,"кнопка, клавиша      button"
7,啊,à,а (междометие)
8,知道,zhīdào,знать понимать
9,像,xiàng,"быть похожим, подобно, как"
10,三星,sānxīng,Самсунг (букв. “три звезды”)
11,或者,huòzhě,или (в утвердительных предложениях)
12,苹果,píngguǒ,яблоко / Apple
13,品牌,pǐnpái,"марка, фирма, лэйбл"
14,样,yàng,"образец, вид, образ"
15,谁,shéi,who
16,谁的,shéide,whose
17,电脑,diànnǎo,компьютер
18,笔记本电脑,bǐjìběn diànnǎo,ноутбук
19,平板电脑,píngbǎn diànnǎo,планшет
20,按键手机,ànjiàn shǒujī,кнопочный телефон
