,0,1,2
0,他,tā,"он, he"
1,她,tā,"она, she"
2,姐姐,jiějie,"старшая сестра, older sister"
3,爸爸,bàba,"папа, dad"
4,U盘,U-pán,"флэшка, flash drive"
5,也,yě,"тоже, also"
6,没,méi,"не (иметь) отрицание для глагола обладания, not (have) negation for the verb of possession"
7,有,yǒu,"иметь, have"
8,需要,xūyào,"нуждаться; необходимо; требоваться, need."
9,给,gěi,"давать, give"
10,多,duō,"много, many"
11,谢谢,xièxie,"спасибо, thank you"
12,不客气,búkèqi,не за что
13,妹妹,mèimei,"младшая сестра, little sister"
14,哥哥,gēge,"старший брат, older brother"
15,弟弟,dìdi,"младший брат, little brother"
16,妈妈,māma,"мама, mom"
17,我们,wǒmen,"мы, we, us"
18,你们,nǐmen,"вы, you (plural)"
19,他们,tāmen,"они, they"
20,CD盘,CD-pán,"CD-диск, CD"
21,光盘,guāngpán,"лазерный диск, laser disc"
22,键盘,jiànpán,"клавиатура, keyboard"
23,盘,pán,"тарелка, блюдо, поднос, plate, tray"
24,一,yī,1
25,六,liù,6
26,七,qī,7
27,九,jiǔ,9
28,零,líng,0
29,请,qĭng,"просить, пожалуйста, ask (for), please"
30,小,xiǎo,"маленький, little, small"
31,东西,dōngxi,"вещь, предмет, thing, something"
32,说,shuō,"говорить, say, speak"
33,懂,dǒng,"понимать, understand"
