,0,1,2
0,正在,zhèng zài,"указывает на то, что действие происходит в данный момент"
1,小吃,xiǎochī,"закуска, перекус"
2,想,xiǎng,"думать, размышлять, хотеть"
3,请,qǐng,"просить, пожалуйста"
4,全班,quánbān,весь класс
5,同学,tóngxué,"одноклассник, студент"
6,参加,cānjiā,"участвовать, принимать участие"
7,月,yuè,месяц
8,号,hào,число (месяца)
9,告诉,gàosu,сказать (кому-л. что-л.)
10,生日,shēngri,день рождения
11,打算,dǎsuan,планировать
12,举办,jǔbàn,"организовывать, устраивать"
13,不好意思,bùhǎo yìsi,"прошу прощения, извините (англ. sorry/excuse me)"
14,晚会,wǎnhuì,вечеринка
15,怎么办,zěnme bàn,что делать?
16,办,bàn,делать
17,喝,hē,пить
18,今年,jīnnián,этот год
19,岁,suì,“лет” сч. сл. для указания возраста
20,支,zhī,"“ветка” сч.сл. для предметов, похожих на палочки (ручки, кисти)"
21,蜡烛,làzhú,свеча (восковая)
22,邀请,yāoqǐng,приглашать
23,蛋糕,dàn’gāo,торт
24,礼物,lǐwù,подарок
25,甜,tián,сладкий
26,巧克力,qiǎokèlì,шоколад
27,鲜花,xiānhuā,свежие цветы
28,日期,rìqī,дата
